x	y	z	strain	u	v	w
2.102102e-01	0.000000e+00	0.000000e+00	7.187506e-07	2.510490e-05	-1.237547e-06	6.056111e-04
2.402402e-01	0.000000e+00	0.000000e+00	4.905593e-07	2.511273e-05	-1.855460e-06	9.077898e-04
2.702703e-01	0.000000e+00	0.000000e+00	-1.088018e-06	2.512362e-05	-2.481448e-06	1.210108e-03
3.000000e-01	2.507508e-02	0.000000e+00	1.419017e-06	2.465699e-05	-3.056252e-06	1.478421e-03
0.000000e+00	5.015015e-02	0.000000e+00	9.096834e-06	2.413259e-05	3.037878e-06	-1.447544e-03
2.912913e-02	5.000000e-02	0.000000e+00	-5.411744e-08	2.413317e-05	2.484698e-06	-1.166517e-03
5.915916e-02	5.000000e-02	0.000000e+00	-1.490948e-07	2.412823e-05	1.865164e-06	-8.766594e-04
8.918919e-02	5.000000e-02	0.000000e+00	-9.354333e-08	2.412459e-05	1.247805e-06	-5.868541e-04
1.192192e-01	5.000000e-02	0.000000e+00	-4.506420e-08	2.412249e-05	6.314911e-07	-2.970830e-04
1.492492e-01	5.000000e-02	0.000000e+00	-1.265861e-09	2.412177e-05	1.564153e-08	-7.328800e-06
1.792793e-01	5.000000e-02	0.000000e+00	4.291154e-08	2.412240e-05	-6.002041e-07	2.824249e-04
2.093093e-01	5.000000e-02	0.000000e+00	9.116122e-08	2.412442e-05	-1.216489e-06	5.721943e-04
2.393393e-01	5.000000e-02	0.000000e+00	1.441384e-07	2.412797e-05	-1.833799e-06	8.619971e-04
2.693694e-01	5.000000e-02	0.000000e+00	1.658585e-07	2.413283e-05	-2.453223e-06	1.151851e-03
